"","month","station","ktx_alight","sm_alight","mg_alight","nr_alight","ktx_sc_alight","ktx_hn_alight","itx_sm_alight","itx_youth_alight","total"
"425",201712,"소요산",0,2,0,0,0,0,0,0,2
"426",201712,"초성리",0,0,0,0,0,0,0,0,0
"427",201712,"한탄강",0,0,0,0,0,0,0,0,0
"428",201712,"전곡",0,0,0,0,0,0,0,0,0
"429",201712,"연천",0,25,0,0,0,0,0,0,25
"430",201712,"신망리",0,0,0,0,0,0,0,0,0
"431",201712,"대광리",0,0,0,0,0,0,0,0,0
"432",201712,"신탄리",0,84,0,0,0,0,0,0,84
"433",201712,"퇴계원",0,0,0,0,0,0,0,875,875
"434",201712,"평내호평",0,0,0,0,0,0,0,33206,33206
"435",201712,"마석",0,0,0,0,0,0,0,1539,1539
"436",201712,"가평",0,0,0,0,0,0,0,38905,38905
"437",201712,"광명",240794,0,0,0,92755,16611,0,0,350160
"438",201801,"안양",0,0,10179,2997,0,0,0,0,13176
"439",201801,"수원",48068,17923,285598,13430,0,409,80509,0,445937
"440",201801,"오산",0,0,4887,2988,0,0,0,0,7875
"441",201801,"서정리",0,0,1008,797,0,0,0,0,1805
"442",201801,"평택",0,3033,142527,6812,0,0,18173,0,170545
"443",201801,"도농",0,0,0,0,0,0,0,0,0
"444",201801,"덕소",0,297,1427,0,0,0,0,0,1724
"445",201801,"양평",0,0,24460,0,0,8176,0,0,32636
"446",201801,"용문",0,0,7100,0,0,0,0,0,7100
"447",201801,"지평",0,0,947,0,0,0,0,0,947
"448",201801,"석불",0,0,41,0,0,0,0,0,41
"449",201801,"일신",0,0,245,0,0,0,0,0,245
"450",201801,"매곡",0,0,316,0,0,0,0,0,316
"451",201801,"양동",0,0,4827,0,0,0,0,0,4827
"452",201801,"삼산",0,0,104,0,0,0,0,0,104
"453",201801,"행신",32696,0,0,0,19864,2547,0,0,55107
